map,record,member,date
CTF-BT-UM-Rush-part2,01:21.935,BlueBalls,2022-02-14
CTF-BT-UnarbitrarilyAztec,01:59.599,p-a-w-e-l,2021-09-08
CTF-BT-UnBunnY,26.919,BlueBalls,2022-02-19
CTF-BT-UNchillingfields-v3,39.895,BlueBalls,2022-09-22
CTF-BT-UnconventioNuLL-v3,27.919,Nightwolf`,2022-12-28
CTF-BT-Underground_nmc,52.800,Dylanbro,2013-11-11
CTF-BT-UndergroundHideout3rd,30.274,Dylanbro,2017-10-28
CTF-BT-UnderwaterBase-v2,02:45.401,p-a-w-e-l,2021-09-15
CTF-BT-UnholyConfessions-v3,01:15.798,p-a-w-e-l,2021-08-28
CTF-BT-United-dbl,04:15.613,Nightwolf`,2022-04-07
CTF-BT-Unizzy_w00t_vF,36.971,}ElitE{HellFire`,2022-10-03
CTF-BT-Unknow_i4g,02:04.367,OwYeaW,2016-06-16
CTF-BT-Unraveling,27.227,Dylanbro,2023-01-24
CTF-BT-UnrealLegend,12.442,*WeeDy*,2021-07-13
CTF-BT-Up-n-Down_v2,56.686,Dylanbro,2021-07-28
CTF-BT-UP-UP-AND-AWAY,41.636,}ElitE{Bon,2017-06-04
CTF-BT-Uprising,01:50.986,Nightwolf`,2019-05-24
CTF-BT-Uropia-v2,02:40.988,}ElitE{Bon,2020-02-11
CTF-BT-UTube-[z1](MD)-dbl,01:07.499,Nightwolf`,2017-07-09
CTF-BT-V0rtex-vF2,19.687,Nightwolf`,2021-12-11
CTF-BT-Vanille,01:07.747,Nightwolf`,2022-04-21
CTF-BT-Vaultv2LR,03:05.400,fierd_1,2013-11-28
CTF-BT-Velocity-vF2,44.144,Dylanbro,2013-04-04
CTF-BT-Venom,45.313,Dylanbro,2013-06-15
CTF-BT-Vent,24.892,}ElitE{Bon,2021-07-30
CTF-BT-Vertige,01:06.366,~DarK~JoJo~,2024-02-08
CTF-BT-Vertige-PinkEdition,59.034,~DarK~JoJo~,2024-02-07
CTF-BT-Vertigo-v2,01:08.919,}ElitE{Mike`,2008-12-03
CTF-BT-VeryUpsetQueen-v2,29.258,BlueBalls,2022-01-20
CTF-BT-Video_Out_E,28.199,~DarK~JoJo~,2024-02-07
CTF-BT-Villa-v2,01:48.783,OwYeaW,2017-06-05
CTF-BT-Violent_i4g,01:58.502,Dylanbro,2013-05-27
CTF-BT-ViRuS,01:38.954,}ElitE{Bon,2008-08-17
CTF-BT-Volcanicdrift_i4g-v2015,08:20.773,[i4g]killerultra,2020-02-13
CTF-BT-VolcanoIsland-v2,34.617,Dylanbro,2016-11-06
CTF-BT-VortexBeach_i4g,01:12.931,}ElitE{HellFire`,2017-11-19
CTF-BT-Walk][On][Water-fix,40.981,}ElitE{Bon,2019-09-08
CTF-BT-WalkJump-v2,01:54.450,fierd_1,2013-09-20
CTF-BT-WalkJumpin,01:04.436,Nightwolf`,2017-07-03
CTF-BT-Wapone-V2,26.899,~DarK~JoJo~,2025-11-17
CTF-BT-Wasted,01:10.501,Marmolak,2022-04-04
CTF-BT-Waterway-fix,01:06.084,OwYeaW,2021-08-14
CTF-BT-WelcomeBack80's-VF,01:15.550,Nightwolf`,2022-04-26
CTF-BT-WhitERansoM_i4g,31.317,~DarK~JoJo~,2026-03-05
CTF-BT-WhiteRusher,27.395,Nightwolf`,2022-03-11
CTF-BT-WhyRush,19.292,BlueBalls,2022-02-15
CTF-BT-WhyRushLvL2,01:51.363,Dylanbro,2022-10-15
CTF-BT-Wicked_vF,01:08.614,OwYeaW,2016-07-25
CTF-BT-Win98_i4g,49.349,Nightwolf`,2012-09-16
CTF-BT-Windy-Base_v2,30.185,Nightwolf`,2012-10-27
CTF-BT-Wipeout!-v2,52.228,fierd_6,2017-05-08
CTF-BT-Wondy's-Lair-dbl,24.289,Nightwolf`,2017-06-17
CTF-BT-World'sGreatest-v2b,55.923,Nightwolf`,2022-10-15
CTF-BT-WorldOfDreams-fix,55.397,Nightwolf`,2022-03-20
CTF-BT-Wormhole-dbl,01:20.229,c21-h30-o2,2015-04-13
CTF-BT-WTC911-v2,35.088,Nightwolf`,2012-09-14
CTF-BT-WTF-Finale,01:01.046,Dylanbro,2011-11-29
CTF-BT-WYHPTMYASFTOD,01:13.344,Nightwolf`,2021-04-25
CTF-BT-X-Scape,01:32.999,BlueBalls,2022-01-13
CTF-BT-XD-Impulse1point5-dbl,36.755,}ElitE{Bon,2021-07-21
CTF-BT-XD-Nightmare-dbl,17.658,Nightwolf`,2017-11-30
CTF-BT-XidiaGoldMine,01:02.243,~DarK~JoJo~,2024-02-13
CTF-BT-XIVS,01:25.309,~DarK~JoJo~,2024-03-14
CTF-BT-XLandMorden,21.298,BlueBalls,2022-03-06
CTF-BT-Xmas2011&NewYear2012,43.738,~DarK~JoJo~,2026-03-10
CTF-BT-Xmas2019(EV)(fix),01:38.194,Nightwolf`,2021-03-13
CTF-BT-XnX-BamboozledRemakeFIX-dbl,01:29.531,Nightwolf`,2021-10-25
CTF-BT-XreanComplex-dbl,01:11.488,Nightwolf`,2017-12-18
CTF-BT-XreanPlant-dbl,36.366,Nightwolf`,2017-12-19
CTF-BT-XtremeSpaceShip-v3,01:29.870,Franky`,2016-11-23
CTF-BT-Xtremewoot][(ALPHA)-dbl,01:16.555,~DarK~JoJo~,2026-03-10
CTF-BT-XtremeWootabulous_i4g,01:47.280,Nightwolf`,2022-04-17
CTF-BT-XXX18+(censored),36.048,*WeeDy*,2016-04-21
CTF-BT-Yoona,01:34.713,~DarK~JoJo~,2025-06-14
CTF-BT-Yoshi_Ikuzo,53.977,}ElitE{Bon,2020-11-04
CTF-BT-YouAreDoomed-Fixed,47.189,}ElitE{Bon,2020-09-13
CTF-BT-YouAreFocked_fixed,57.627,}ElitE{HellFire`,2013-04-21
CTF-BT-YouAreOnCoke,02:24.400,Dylanbro,2011-03-19
CTF-BT-YuLiberte,01:49.620,}ElitE{Bon,2017-12-27
CTF-BT-Yus,34.855,Nightwolf`,2021-05-22
CTF-BT-z3u5-]I[-EZ-v04,01:30.696,fierd_1,2014-01-04
CTF-BT-z3u5-]I[-v1,01:43.713,fierd_1,2014-01-04
CTF-BT-z3u5-II-i4g,36.758,fierd_6,2017-02-06
CTF-BT-ZapYoAssVF2,01:25.775,Dylanbro,2013-03-26
CTF-BT-zarge][-vLO,19.603,}ElitE{HellFire`,2016-10-05
CTF-BT-ZBTC-Masterman,01:11.592,Dylanbro,2021-06-15
CTF-BT-ZCastle49-VF,34.759,Dylanbro,2022-03-14
CTF-BT-Zcirclejumps,43.283,~DarK~JoJo~,2025-01-21
CTF-BT-Zcr,37.812,~DarK~JoJo~,2024-03-21
CTF-BT-Zelly,01:28.533,}ElitE{HellFire`,2020-10-17
CTF-BT-ZFall,02:02.432,~DarK~JoJo~,2026-01-20
CTF-BT-Zignixx,04:47.832,artur509,2023-04-15
CTF-BT-ZigZag_i4g,04:12.298,}ElitE{Bon,2016-11-26
CTF-BT-Zima-vF2,42.922,Dylanbro,2011-12-27
CTF-BT-Zlaa_Rush_City,16.297,Dylanbro,2024-03-17
CTF-BT-Zwielicht-2,22.647,Dylanbro,2022-03-17
CTF-BT-ZyrionFactory-v3b,01:29.250,Nightwolf`,2014-01-19
CTF-BT-Zyron_i4g,58.465,Dylanbro,2022-01-14
CTF-BT-}ElitE{4aLL-vF,41.733,}ElitE{Mike`,2022-08-26
CTF-BT-}ElitE{aQua3,31.891,Nightwolf`,2013-04-14
CTF-BT-}ElitE{QuakeStyle,54.836,~DarK~JoJo~,2026-03-23
CTF-BT-}OIC{-[LazYBunnY]-vF,01:25.340,Dylanbro,2016-11-06
CTF-BT-}OIC{-Beginner-dbl,26.778,Dylanbro,2016-10-17
