map,record,member,date
CTF-BT-(DJ)AfterLife_v2,56.639,~DarK~JoJo~,2026-04-15
CTF-BT-(DJ)Archangel_v3,02:01.685,~DarK~JoJo~,2025-11-24
CTF-BT-(DJ)BlackHill_v2,23.212,~DarK~JoJo~,2025-02-06
CTF-BT-(DJ)Bloom_v2,02:27.487,~DarK~JoJo~,2026-04-11
CTF-BT-(DJ)Echos_v2,02:07.818,~DarK~JoJo~,2026-03-12
CTF-BT-(DJ)Eclipse_v2,01:21.431,~DarK~JoJo~,2025-12-15
CTF-BT-(DJ)Exost_v2,19.206,~DarK~JoJo~,2026-05-22
CTF-BT-(DJ)ForCondemner_v3,08:31.960,~DarK~JoJo~,2025-04-08
CTF-BT-(DJ)ForCondemnerEZ_v2,05:26.416,~DarK~JoJo~,2024-03-18
CTF-BT-(DJ)ForKeukeu_v2,01:57.813,~DarK~JoJo~,2025-05-21
CTF-BT-(DJ)GlideBitch_v2,23.521,~DarK~JoJo~,2025-02-06
CTF-BT-(DJ)HellRift_v2,02:34.124,~DarK~JoJo~,2026-05-22
CTF-BT-(DJ)ImmortalRedneck_v3,01:24.060,~DarK~JoJo~,2025-05-21
CTF-BT-(DJ)LaCouleurDuSon_v2,48.549,Zla_Bakica,2021-07-03
CTF-BT-(DJ)LaVieEnRose_v4,04:22.996,~DarK~JoJo~,2024-02-20
CTF-BT-(DJ)Lune_v2,01:17.117,~DarK~JoJo~,2026-04-11
CTF-BT-(DJ)MagicAcademy_v2,02:34.402,~DarK~JoJo~,2026-05-04
CTF-BT-(DJ)Melancholya_v2,25.993,~DarK~JoJo~,2025-04-18
CTF-BT-(DJ)Mirage_v2,01:37.855,~DarK~JoJo~,2026-03-04
CTF-BT-(DJ)Moonlight_v3,03:57.745,~DarK~JoJo~,2025-01-30
CTF-BT-(DJ)Nightcall_v2,46.019,~DarK~JoJo~,2026-04-15
CTF-BT-(DJ)Nightwave_v3,01:01.951,~DarK~JoJo~,2026-04-15
CTF-BT-(DJ)Oros_v2,43.108,~DarK~JoJo~,2026-04-15
CTF-BT-(DJ)OwYeaW_v2,39.840,BlueBalls,2022-02-05
CTF-BT-(DJ)PapaGronaze_v2,01:43.299,~DarK~JoJo~,2025-06-04
CTF-BT-(DJ)Rupture_v2,01:48.677,~DarK~JoJo~,2026-03-06
CTF-BT-(DJ)Samoyede_v2,01:16.281,~DarK~JoJo~,2024-02-15
CTF-BT-(DJ)TheGrandCathedral_v2,01:39.927,~DarK~JoJo~,2024-02-28
CTF-BT-(DJ)Vacant_v2,26.605,~DarK~JoJo~,2026-04-01
CTF-BT-(DJ)Verglas_v2,21.323,~DarK~JoJo~,2026-05-16
CTF-BT-(DJ)Virtuose_v4,01:47.846,~DarK~JoJo~,2024-03-14
CTF-BT-(DJ)WatchDogs_v3,50.111,~DarK~JoJo~,2025-12-17
CTF-BT-(DJ)Weedy][_v2,33.473,~DarK~JoJo~,2025-04-21
CTF-BT-(DJ)Weedy_v2,15.386,~DarK~JoJo~,2026-04-15
CTF-BT-(DN)-BerlinWall,43.728,Dylanbro,2021-10-03
CTF-BT-(DN)-DukeNukem3D,01:46.728,Nightwolf`,2012-08-14
CTF-BT-(DN)-RatasHouseVC,01:14.970,~DarK~JoJo~,2025-12-17
CTF-BT-(Do)CTTT-v3,01:02.267,~DarK~JoJo~,2025-05-22
CTF-BT-(Dom)-COMP-Anc_noobZ-fix,34.737,Nightwolf`,2023-01-02
CTF-BT-(Dom)Box_Factory,58.228,BlueBalls,2023-01-20
CTF-BT-(Dom)BunnY_n00bS,01:44.570,}ElitE{Bon,2020-10-12
CTF-BT-(Dom)EgyptianTemple,01:14.279,Nightwolf`,2013-10-26
CTF-BT-(Dom)Gerder_House_v1,01:20.630,Nightwolf`,2012-10-11
CTF-BT-(Dom)MeNtLe,51.188,Nightwolf`,2012-10-10
CTF-BT-(Dom)SnowyWinter-v2,56.464,Nightwolf`,2012-10-19
CTF-BT-(Don)Donnie-v1,03:49.164,}ElitE{Bon,2019-11-06
CTF-BT-(DS)BlackAndWhite_v1,30.428,Dylanbro,2013-12-05
CTF-BT-(ds)DoomHell,30.719,}ElitE{Mike`,2022-03-01
CTF-BT-(ds)Face,34.782,}ElitE{HellFire`,2015-08-07
CTF-BT-(DS)QueenGame,02:50.366,Nightwolf`,2013-05-13
CTF-BT-(ds)TakeThis!,30.429,p-a-w-e-l,2021-09-03
CTF-BT-(DSI)BTTT_vF,30.985,Nightwolf`,2012-09-07
CTF-BT-(Dub)CurseofHoogvliet,01:24.107,Dylanbro,2021-06-30
CTF-BT-(Dub)Lava-Station_i4g,39.304,Nightwolf`,2019-06-12
CTF-BT-(Dub)Ruins_i4g_v2,39.778,}ElitE{Bon,2019-12-25
CTF-BT-(Dub)Trouble,58.172,}ElitE{Mike`,2023-03-12
CTF-BT-(DuS)ForMarek,01:10.783,OwYeaW,2017-03-29
CTF-BT-(DuS)IfYouCan,07.762,Nightwolf`,2017-01-22
CTF-BT-(E)HatefullOrbit,25.165,Dylanbro,2017-12-31
CTF-BT-(E)SpeedFreaks,11.128,Nightwolf`,2019-05-20
CTF-BT-(E-Maz)Desturbed-v3,38.722,}ElitE{Mike`,2023-03-30
CTF-BT-(E-Maz)Desturbed][Hard-fix,50.225,BlueBalls,2021-11-06
CTF-BT-(EK)TeamGeist-v2,48.299,}ElitE{Mike`,2014-03-03
CTF-BT-(ElitE)Space_dbl,47.337,~DarK~JoJo~,2025-01-27
CTF-BT-(ET)NoobTastic-EZ-v2,03:04.762,~DarK~JoJo~,2026-01-25
CTF-BT-(ET)NoobTastic-fixed,04:46.296,OwYeaW,2016-09-04
CTF-BT-(ex)TimeWontTell,52.380,Nightwolf`,2022-04-14
CTF-BT-(F)Prelude_i4g,01:35.067,Nightwolf`,2013-10-30
CTF-BT-(F)TheBlisterExists_i4g-vF,02:00.972,Nightwolf`,2014-02-04
CTF-BT-(Fa)-ASDF-LEGO,39.498,}ElitE{Mike`,2022-08-20
CTF-BT-(Fa)-ASDF-Pillars,01:20.967,Nightwolf`,2014-12-02
CTF-BT-(FB)ReadMe!-v2,02:14.903,}ElitE{Bon,2008-07-30
CTF-BT-(fear)easy-huh,31.231,Nightwolf`,2022-10-14
CTF-BT-(Flea)Beginning-v2,50.292,}ElitE{Bon,2021-07-15
CTF-BT-(Flea)Crucifier,01:44.742,Nightwolf`,2014-10-05
CTF-BT-(Fran)Dingodile,01:01.215,Nightwolf`,2016-02-01
CTF-BT-(Fran)FastCap-v2,49.128,Nightwolf`,2015-12-03
CTF-BT-(Fran)Franconion,05.969,*WeeDy*,2019-11-28
CTF-BT-(Fran)JumpAndDodge,01:00.153,Dylanbro,2017-11-09
CTF-BT-(Fran)Kubox,06.236,BlueBalls,2022-01-16
CTF-BT-(Fran)Run-Baby!,12.869,BlueBalls,2022-01-15
CTF-BT-(Fran)Tutorial,10.506,Dylanbro,2019-12-27
CTF-BT-(FRC)PrivateSchool_fix2,37.508,~DarK~JoJo~,2026-03-09
CTF-BT-(GavNeo)GSSE-Rebuild,53.427,Nightwolf`,2012-10-13
CTF-BT-(GH)EgyptianTheBeginning_dbl2,03:09.025,}ElitE{Bon,2012-07-30
CTF-BT-(GH)SteelFactoryv2_dbl,26.873,Nightwolf`,2019-03-18
CTF-BT-(goku)-3sec-dbl,03.388,Nightwolf`,2017-01-08
CTF-BT-(goku)-DarkMazeEZ-dbl,09.582,Nightwolf`,2016-01-07
CTF-BT-(goku)-IDK-dbl,15.186,Dylanbro,2016-01-04
CTF-BT-(goku)-Nomads,28.383,Nightwolf`,2022-10-21
CTF-BT-(goku)-RDFTW,10.682,BlueBalls,2023-01-21
CTF-BT-(HA)Nonstop,45.369,~DarK~JoJo~,2025-06-07
CTF-BT-(HD)Hyper-vF,42.291,p-a-w-e-l,2021-09-11
CTF-BT-(HD)StormyJungle-v2b,01:06.901,}ElitE{Bon,2013-06-24
CTF-BT-(I)Base-v2,45.534,Nightwolf`,2022-04-24
CTF-BT-(I)Castle-vLO,19.995,Nightwolf`,2016-11-07
CTF-BT-(I)NoobLand,10.129,Nightwolf`,2021-05-31
CTF-BT-(I)Retribution_i4g,26.345,Nightwolf`,2022-12-29
CTF-BT-(I)SecretOps,27.301,Nightwolf`,2022-03-23
CTF-BT-(i-f)DeadlyTime_i4g,01:39.791,Nightwolf`,2013-10-18
CTF-BT-(IA)HollowTower,39.020,Nightwolf`,2012-08-30
CTF-BT-(inf)ected_fix,01:28.551,Nightwolf`,2014-02-04
CTF-BT-(itsadam)-map7v2,01:30.786,~DarK~JoJo~,2024-03-10
CTF-BT-(J)AngelOfDeath,01:24.219,}ElitE{HellFire`,2021-09-27
CTF-BT-(J)EvilutioN,01:23.495,OwYeaW,2016-11-18
CTF-BT-(Ja)UnderTheSand-v2,02:34.160,}ElitE{Mike`,2017-06-14
CTF-BT-(JJ)Neutralizator,01:45.565,Nightwolf`,2022-04-09
CTF-BT-(JJ)Psylo-v2,01:50.672,Nightwolf`,2013-05-26
CTF-BT-(JJ)Recon-V2,02:06.708,Nightwolf`,2014-03-31
CTF-BT-(Jt)FuriousLego,53.801,}ElitE{Mike`,2022-03-01
CTF-BT-(Jt)FuriousLego2,01:01.288,fierd_3,2013-05-28
CTF-BT-(Jt)Melancholy,58.807,}ElitE{HellFire`,2020-10-27
CTF-BT-(K)Area-51-v2,02:25.163,Dylanbro,2012-10-17
CTF-BT-(K)Branching-vF,01:24.949,}ElitE{HellFire`,2017-06-10
CTF-BT-(K)Death-Tomb-v3,01:15.884,Dylanbro,2022-01-02
CTF-BT-(K)Efreet-v2,01:01.966,Dylanbro,2022-01-24
CTF-BT-(K)Hell,02:08.249,Nightwolf`,2014-10-11
CTF-BT-(K)Hiding-Dungeon,56.377,Dylanbro,2013-11-15
CTF-BT-(K)K'rools-Jungle,53.582,}ElitE{Mike`,2022-03-22
CTF-BT-(K)LaMeShiT-v6,03:01.405,Nightwolf`,2014-01-19
CTF-BT-(K)Magma-Base-vF,59.700,fierd_1,2014-12-13
CTF-BT-(K)Mystery-Fortress-vF,02:16.462,Dylanbro,2011-09-12
CTF-BT-(K)Nighon-v3,03:34.182,specialone*,2022-03-15
CTF-BT-(K)Nightmare-v3,01:20.188,}ElitE{HellFire`,2022-08-28
CTF-BT-(K)OceanoGraphy-v3,01:30.369,Nightwolf`,2022-10-18
CTF-BT-(K)Poison-BaseCB,01:17.548,Dylanbro,2019-12-18
CTF-BT-(K)Primeval-v3,01:40.665,}ElitE{Mike`,2022-08-03
CTF-BT-(K)Storm-Base-v2,01:44.163,}ElitE{Bon,2018-01-12
CTF-BT-(K)SubZero,01:10.632,}ElitE{Bon,2017-12-22
CTF-BT-(K)SubZero-vF,01:05.095,}ElitE{Bon,2017-12-22
CTF-BT-(K)Torment-v3,01:20.893,}ElitE{Mike`,2009-06-27
CTF-BT-(K)WisdomCB,52.714,}ElitE{Bon,2017-06-04
CTF-BT-(K-A)Atom-Reactor-vF,01:48.378,}ElitE{HellFire`,2021-09-27
CTF-BT-(K-A)KnowledgeCB2,02:42.619,Dylanbro,2022-10-21
CTF-BT-(K-E)Titanium-v3,01:30.162,p-a-w-e-l,2021-09-01
CTF-BT-(K-P)ElementalFusion-v2,02:09.476,Nightwolf`,2013-10-13
CTF-BT-(KC)BunnyPyramid,29.664,Dylanbro,2017-12-07
CTF-BT-(KC)CrimsonRoom,01:45.397,}ElitE{Bon,2017-10-27
CTF-BT-(KC)EgyptianWalk,01:00.054,Nightwolf`,2012-08-30
CTF-BT-(Keu)MiniMap-dbl,09.271,Nightwolf`,2021-03-14
CTF-BT-(Keu)NoobRushers-v3,39.530,~DarK~JoJo~,2026-03-09
CTF-BT-(Kh)Catch_The_Frog-v3,01:07.553,Nightwolf`,2014-02-25
CTF-BT-(Kh)Interdit-17ans,01:45.493,p-a-w-e-l,2022-12-18
CTF-BT-(Kh)TombeDesFRA-vF,03:01.230,BlueBalls,2021-11-07
CTF-BT-(Ki'Ca)-FoCkeNBiTcH-vF,01:32.785,Nightwolf`,2014-01-26
CTF-BT-(Ki)Belalou-vF,02:03.544,fierd_1,2013-11-02
CTF-BT-(Ki)Belalou][-v2,02:06.170,fierd_1,2014-11-17
CTF-BT-(Ki)Bellelulu,03:03.838,}ElitE{cRuNcHeR,2011-11-16
CTF-BT-(Ki)Hell-to-Paradise_vF,03:38.447,OwYeaW,2017-03-13
CTF-BT-(Ki)LouisDeFunes,01:37.344,~DarK~JoJo~,2026-03-22
CTF-BT-(Kraken)Crusade,53.535,Nightwolf`,2013-04-15
CTF-BT-(Kraken)Decommissoned-vF,01:11.942,Nightwolf`,2014-01-27
CTF-BT-(Kraken)Forgotton-v2,01:06.390,Dylanbro,2017-08-30
CTF-BT-(Kraken)Requim,29.223,Nightwolf`,2022-10-02
CTF-BT-(L)Beast,40.762,Nightwolf`,2013-06-06
CTF-BT-(L)CarnageCorp_vF,01:03.863,Nightwolf`,2022-10-12
CTF-BT-(L)Forseek-vF,01:16.364,Nightwolf`,2012-08-14
CTF-BT-(L)Forstruppi_vF,50.641,Nightwolf`,2012-10-27
CTF-BT-(L)Solemn,01:19.450,fierd_6,2012-09-10
CTF-BT-(L)Strobelights_vF,02:09.237,Nightwolf`,2022-04-24
CTF-BT-(L)The-Wicked,01:45.193,OwYeaW,2016-05-15
CTF-BT-(L)Weird-fix,58.088,Nightwolf`,2021-12-11
CTF-BT-(LMT)Limited,01:25.212,Nightwolf`,2013-05-15
CTF-BT-(LT)Bitter,33.627,Dylanbro,2012-11-12
CTF-BT-(LT)EternalCave-V3,01:15.629,Nightwolf`,2012-09-03
CTF-BT-(LT)FOUR,04:05.243,OwYeaW,2016-11-06
CTF-BT-(LT)Nobility-V3,01:13.189,Nightwolf`,2022-04-09
CTF-BT-(LT)Prosperity,57.240,Nightwolf`,2014-03-11
CTF-BT-(LU)CJ-Pwnz,38.052,Dylanbro,2016-01-20
CTF-BT-(LU)EnvoyOfTheEnd-v2,01:21.752,}ElitE{Bon,2011-11-05
CTF-BT-(LU)Pulse-EZ-v2,58.021,Dylanbro,2017-08-02
CTF-BT-(LU)Pulse-v3,01:02.960,Dylanbro,2017-08-03
CTF-BT-(Lvkkie)EvilLvkkie[v3],46.086,}ElitE{Bon,2021-09-22
CTF-BT-(Lvkkie)IntoTheDepths,44.824,Nightwolf`,2017-12-17
CTF-BT-(Lvkkie)Transpose,01:11.208,Dylanbro,2017-07-06
CTF-BT-(Lvkkie)ZoneProblem,21.739,Nightwolf`,2021-08-16
CTF-BT-(M)Heretrick-vEZ-vF,02:56.719,}ElitE{Bon,2017-12-09
CTF-BT-(M)Heretrick-vH-vF,03:07.521,fierd_3,2011-12-03
CTF-BT-(M)Meteora,01:25.820,Nightwolf`,2014-10-08
CTF-BT-(M00)Sacrifice_fix,01:13.374,Nightwolf`,2014-12-02
CTF-BT-(MagB)BackCity_fix,01:15.354,}ElitE{Bon,2010-07-29
CTF-BT-(MagB)FlatPit,54.513,Dylanbro,2017-12-02
CTF-BT-(MagB)Isolation-Ez,50.157,Nightwolf`,2012-09-09
CTF-BT-(MagB)Isolation-v4,49.665,Nightwolf`,2012-11-10
CTF-BT-(MagB)MagmasFactory,02:03.718,Nightwolf`,2014-10-17
CTF-BT-(MagB)NoobStation1,28.892,Nightwolf`,2012-10-01
CTF-BT-(MagB)TombRush_V3,38.994,Dylanbro,2017-12-08
CTF-BT-(MD)JumpingFun-v4,29.884,}ElitE{HellFire`,2016-10-13
CTF-BT-(MD)Speedingtime-v4,45.427,}ElitE{Bon,2016-12-18
CTF-BT-(meg)Assinine-v2,49.989,}ElitE{HellFire`,2021-09-18
CTF-BT-(meg)DownNout-vF,01:40.455,fierd_1,2013-10-31
CTF-BT-(meg)Logout,53.397,Nightwolf`,2012-10-14
CTF-BT-(meg)MoStOfiT,02:51.872,p-a-w-e-l,2021-09-18
CTF-BT-(meg)OneMoREforU,01:47.636,OwYeaW,2016-06-13
CTF-BT-(meg)Sevearly,02:15.341,Nightwolf`,2013-05-30
CTF-BT-(meg)SMaShinG,01:08.920,p-a-w-e-l,2021-08-23
CTF-BT-(meg)Snakey_i4g,58.590,Dylanbro,2017-12-05
CTF-BT-(meg)Squrrells][,01:35.179,Dylanbro,2012-03-25
CTF-BT-(meg)STillFun-vF,01:43.327,fierd_1,2014-10-11
CTF-BT-(Men)Speed-v2,34.219,Nightwolf`,2022-03-04
CTF-BT-(Met)MiniFactory,27.554,Nightwolf`,2021-08-23
CTF-BT-(Met)ZechtoN-v2,28.348,Nightwolf`,2012-09-04
CTF-BT-(MMI)Jump-v3,01:04.685,Dylanbro,2011-12-08
CTF-BT-(MMI)Jumping-4-noobs-18YR,06.560,Dylanbro,2024-05-28
CTF-BT-(Mon)CBA4ITtbfh][_i4g,01:10.187,}ElitE{Bon,2020-10-29
CTF-BT-(Mon-Ch)AbilitaPunteria,01:25.744,OwYeaW,2017-06-05
CTF-BT-(Mon-Ch)Basics_i4g,51.348,~DarK~JoJo~,2026-03-31
CTF-BT-(Mon-wB)Cursed-Tomb,02:45.985,}ElitE{Mike`,2017-11-01
CTF-BT-(Mon-wB)WTFisThISShIT_i4g-vF,40.530,Dylanbro,2011-06-29
CTF-BT-(Moz)CrypT_dbl,17.606,}ElitE{HellFire`,2017-10-14
CTF-BT-(Mv)Control-v4,59.623,Nightwolf`,2012-08-01
CTF-BT-(MW)-SkyCity-dbl,37.452,Nightwolf`,2016-01-31
CTF-BT-(MW)-Stage1-fix,01:01.811,Dylanbro,2015-11-28
CTF-BT-(Myst)6-11,27.598,}ElitE{Mike`,2020-10-13
CTF-BT-(Myst)Caress,20.403,Nightwolf`,2017-06-13
CTF-BT-(Myst)Carnaval,22.495,Dylanbro,2012-07-25
CTF-BT-(Myst)CrossOver_v2,41.015,fierd_6,2012-08-19
CTF-BT-(Myst)Crypt,20.787,Nightwolf`,2022-12-31
CTF-BT-(Myst)EasyWayToCap,14.533,~DarK~JoJo~,2026-03-10
CTF-BT-(Myst)erious-vF,47.917,}ElitE{HellFire`,2016-01-07
CTF-BT-(Myst)Fall-v1,18.307,Nightwolf`,2012-09-08
CTF-BT-(Myst)Febrifugal,54.486,}ElitE{Bon,2013-06-07
CTF-BT-(Myst)Grateful,54.231,fierd_6,2011-12-01
CTF-BT-(Myst)JustFun,21.345,Nightwolf`,2012-09-20
CTF-BT-(Myst)Obstaculo,39.881,Dylanbro,2012-09-09
CTF-BT-(Myst)Recomendacion,37.371,Nightwolf`,2021-09-02
CTF-BT-(Myst)RushInLava,45.490,~DarK~JoJo~,2026-02-26
CTF-BT-(Myst)Short-Rush,17.608,}ElitE{Mike`,2022-09-20
CTF-BT-(Myst)ShowTime,15.317,Dylanbro,2017-12-11
CTF-BT-(Myst)Slimed,30.741,}ElitE{Mike`,2022-02-14
CTF-BT-(Myst)System,28.377,Nightwolf`,2012-09-28
CTF-BT-(Mystikal)Level1,29.632,}ElitE{Mike`,2022-10-21
CTF-BT-(NA)LavaFort[Final],55.989,BlueBalls,2023-01-21
CTF-BT-(NA)SeasonWarz-fix2,02:47.843,Nightwolf`,2022-04-18
CTF-BT-(NA)Speedy]FinalV[,01:10.440,Nightwolf`,2022-04-02
CTF-BT-(nApg)HowHigh,02:04.964,Nightwolf`,2009-07-31
CTF-BT-(nApg)SlowSnow,26.911,Nightwolf`,2022-12-29
CTF-BT-(nApg)TheTwilightZone-v2,35.355,}ElitE{Mike`,2022-03-03
CTF-BT-(nApg)WrongKicker-v2,33.036,~DarK~JoJo~,2026-05-16
CTF-BT-(NB)CXIsland-v2,03:04.528,Dylanbro,2012-09-18
CTF-BT-(NB)LTTT,28.550,*WeeDy*,2018-03-16
CTF-BT-(NB)MarsAttack[i4g],01:01.489,Nightwolf`,2012-10-10
CTF-BT-(NEO)LiquidLab,40.082,Dylanbro,2012-10-29
CTF-BT-(NEO)ReturnToLiquidLab,45.008,Nightwolf`,2013-05-12
CTF-BT-(NEP)1337-v2,01:14.574,}ElitE{Mike`,2022-09-20
CTF-BT-(NEP)BurnBaby-v2,57.994,Nightwolf`,2013-04-12
CTF-BT-(NEP)HotStuff,50.895,}ElitE{HellFire`,2018-01-18
CTF-BT-(NEP)rUskilled-v5b,48.433,}ElitE{HellFire`,2014-03-03
CTF-BT-(NEP)Time2Die,01:03.222,~DarK~JoJo~,2025-03-26
CTF-BT-(NEP)Tricky-v2,39.145,Nightwolf`,2023-01-04
CTF-BT-(NML)EaZy_As_PiE,01:09.896,Nightwolf`,2013-10-19
CTF-BT-(noob)-(magic)-Egypt_dbl,01:11.112,Dylanbro,2021-06-12
CTF-BT-(noob)-CTTT_dbl,01:17.459,Dylanbro,2017-12-10
CTF-BT-(NuFc)So-simple,28.462,}ElitE{HellFire`,2012-02-02
CTF-BT-(NuLL)Concrete-v3,01:15.954,}ElitE{Mike`,2012-10-04
CTF-BT-(NuMb3R)Temple(v1),01:09.105,Dylanbro,2014-02-01
CTF-BT-(NW)Required,37.834,Dylanbro,2022-03-25
CTF-BT-(NW)Research,33.000,Nightwolf`,2022-03-05
CTF-BT-(ow)Compilatieng-v3,09:48.188,OwYeaW,2015-08-15
CTF-BT-(ow)Dodgeng][-v2,30.843,*WeeDy*,2019-12-08
CTF-BT-(ow)Falleng-v3,29.992,Nightwolf`,2022-12-30
CTF-BT-(ow)Glitcheng-I4G,09.822,Nightwolf`,2022-10-16
CTF-BT-(ow)Goldeng-v3,11.596,Nightwolf`,2022-03-10
CTF-BT-(ow)HammerStageng1,07.098,*WeeDy*,2020-06-06
CTF-BT-(ow)HammerStageng2,10.241,*WeeDy*,2020-06-04
CTF-BT-(ow)HammerStageng3,13.238,*WeeDy*,2020-06-04
CTF-BT-(ow)HammerStageng4,08.272,*WeeDy*,2020-06-07
CTF-BT-(ow)HammerStageng5,10.781,*WeeDy*,2021-06-23
CTF-BT-(ow)Lightneng-EZ-v3,04:52.878,OwYeaW,2016-06-02
CTF-BT-(ow)Lightneng-v2,07:25.576,OwYeaW,2016-02-14
CTF-BT-(ow)MonsterMadness-v4,14:49.015,artur509,2022-03-30
CTF-BT-(ow)Rusheng,01:18.614,Dylanbro,2012-12-22
CTF-BT-(ow)Rusheng][-v3,46.538,Nightwolf`,2022-04-12
CTF-BT-(ow)Rusheng]I[,50.273,Dylanbro,2012-06-08
CTF-BT-(ow)RushengIV-v3,21.289,Nightwolf`,2022-03-10
CTF-BT-(ow)RushengIX,12.950,}ElitE{Bon,2020-10-01
CTF-BT-(ow)RushengV-v2,40.270,Nightwolf`,2019-05-10
CTF-BT-(ow)RushengVI,24.531,Nightwolf`,2022-11-02
CTF-BT-(ow)RushengVII-v3,46.284,}ElitE{Bon,2022-01-14
CTF-BT-(ow)Simpleng,21.837,Nightwolf`,2022-10-06
CTF-BT-(ow)Speedeng,14.329,Nightwolf`,2013-10-11
CTF-BT-(ow)Targeteng-v4,01:40.710,}ElitE{Bon,2016-06-18
CTF-BT-(ow)Targeteng0-v3,01:30.906,}ElitE{Bon,2021-08-13
CTF-BT-(P)FossilRecource-v1,39.470,Dylanbro,2013-06-02
CTF-BT-(P)PoseidonsCave-v1,41.030,}ElitE{Mike`,2014-04-27
CTF-BT-(P)SecretBase-v4,37.272,Nightwolf`,2017-12-19
CTF-BT-(Pat)BasicGayMap-v2,03:18.529,OwYeaW,2016-04-14
CTF-BT-(Pat)CTTT(EZ)_v3,02:33.524,OwYeaW,2017-06-05
CTF-BT-(Pat)DontStop-v2,01:15.447,p-a-w-e-l,2020-08-14
CTF-BT-(Pat)MiniMap,26.396,Nightwolf`,2014-10-05
CTF-BT-(Phan)Volcano-v2,01:20.312,Nightwolf`,2012-09-29
CTF-BT-(PL)Egypt,59.575,}ElitE{Bon,2013-06-29
CTF-BT-(Plat)Infinity-i4g,16.345,Nightwolf`,2016-11-09
CTF-BT-(Provo)Fun2011,35.566,Dylanbro,2017-12-30
CTF-BT-(Provo)NoobRush_i4g,08.067,~DarK~JoJo~,2025-12-07
CTF-BT-(Provo)TimeForBT,20.027,}ElitE{HellFire`,2021-08-26
CTF-BT-(Provo)WTF-Rush-i4g,18.649,BlueBalls,2022-10-19
CTF-BT-(Q)BreachV2-(dp,01:34.985,~DarK~JoJo~,2024-02-28
CTF-BT-(Q)CapTivity,02:11.859,~DarK~JoJo~,2025-04-09
CTF-BT-(Q)Discus,26.308,BlueBalls,2022-01-20
CTF-BT-(Q)SwiftRush,22.342,}ElitE{Mike`,2023-03-25
CTF-BT-(R)MaxycrayedCastle_i4g,45.956,}ElitE{Bon,2009-06-05
CTF-BT-(RaDs)-HighTimes!,38.108,Dylanbro,2021-06-30
CTF-BT-(RAP)Lab-X175,29.287,BlueBalls,2023-01-16
CTF-BT-(RAP)Punishment,01:02.524,}ElitE{HellFire`,2016-11-05
CTF-BT-(RAP)Sacrafision,39.840,}ElitE{HellFire`,2022-09-11
CTF-BT-(Raz)StonedWhenMapped-dbl,09.735,Nightwolf`,2021-11-05
CTF-BT-(RB)Compound,02:06.961,OwYeaW,2016-07-19
CTF-BT-(RB)Everything,45.378,}ElitE{Bon,2022-09-26
CTF-BT-(RB)Icycle,01:50.618,Dylanbro,2014-01-29
CTF-BT-(RB)Phycomania-v2,01:37.124,}ElitE{HellFire`,2021-09-30
CTF-BT-(RB)Sew0r,54.877,Nightwolf`,2014-12-02
CTF-BT-(RB)WiLDeRneSs,01:54.785,Nightwolf`,2014-12-05
CTF-BT-(Roel)Amplitude-v3,02:34.431,~DarK~JoJo~,2025-04-13
CTF-BT-(Roel)BasedOnADream,54.085,Nightwolf`,2012-10-15
CTF-BT-(Roel)Energized-v3,01:05.857,Dylanbro,2023-01-24
CTF-BT-(Roel)GoGoGo!,30.357,Nightwolf`,2012-10-08
CTF-BT-(Roel)GoGoGo!][-v2,40.389,}ElitE{Bon,2013-05-22
CTF-BT-(Roel)GoGoGo!]I[-v2,01:05.328,Ensiferum,2021-11-23
CTF-BT-(Roel)Jump[2012],01:19.072,}ElitE{Mike`,2021-06-13
CTF-BT-(Roel)Legoism,56.565,Zla_Bakica,2022-06-30
CTF-BT-(Roel)NewYear2011-v2,51.372,Nightwolf`,2013-04-21
CTF-BT-(Roel)SkyHigh-v2,01:15.034,~DarK~JoJo~,2025-02-04
CTF-BT-(Roel)SpeedOfLight-v3,02:20.342,}ElitE{Mike`,2009-09-18
CTF-BT-(Roel)TwoCastles,04:58.003,Nightwolf`,2019-03-23
CTF-BT-(Roel)Vertical,02:14.736,Nightwolf`,2014-10-24
CTF-BT-(room3)SpecialPulsion-fix,11.081,Nightwolf`,2022-03-13
CTF-BT-(Rp)-AncientTemple,01:11.541,}ElitE{Bon,2016-11-27
CTF-BT-(Rp)-CTTT][-final,01:48.894,Dylanbro,2014-01-29
CTF-BT-(Rp)-CTTT]I[-vF_nmc2,02:38.665,Nightwolf`,2014-10-10
CTF-BT-(Rp)-iBT-v0,01:43.802,Dylanbro,2011-11-21
CTF-BT-(Rp)-Industrial-v0,36.258,Dylanbro,2014-01-31
CTF-BT-(Rp)-IrritatingBlocks-v0,32.179,~DarK~JoJo~,2026-05-27
CTF-BT-(Rp)-RumteUs,01:28.711,Nightwolf`,2013-06-01
CTF-BT-(Rp)-StarShip_fix,01:07.216,~DarK~JoJo~,2026-03-05
CTF-BT-(RS)OlympusMons,01:30.302,}ElitE{Bon,2018-01-05
CTF-BT-(RSK)-BloodRush,02:25.446,OwYeaW,2016-02-25
CTF-BT-(RSK)-LavaDeath,01:31.972,fierd_1,2013-09-30
CTF-BT-(RSK)-MoreFun-fix2,02:14.929,Addic7ed,2019-11-20
CTF-BT-(RSK)-Tample,54.329,Dylanbro,2022-03-11
CTF-BT-(RSK)-ThisIsEasy,33.296,}ElitE{Bon,2021-07-25
